event_month,aar,std,n,se,t_stat,api,news,size
-10,-0.0036751588594704666,0.13562078209569564,491,0.006120480216281929,-0.6004690366768398,0.9839019183140272,Bad,Small
-9,-0.01637938696537678,0.15965157964638077,491,0.007204974928063367,-2.2733440614177702,0.9677862080579852,Bad,Small
-8,-0.01298944399185336,0.15456012880098802,491,0.006975200967982456,-1.862232221190108,0.9552152033123279,Bad,Small
-7,0.01328541955193483,0.1346755760052507,491,0.006077823662562932,2.1858843378046537,0.9679056380507188,Bad,Small
-6,0.006381303462321792,0.13085624732736134,491,0.005905459772226379,1.080576908225389,0.9740821376500125,Bad,Small
-5,0.006813311608961302,0.13571868240982835,491,0.0061248983956093,1.1123958584921996,0.9807188627865452,Bad,Small
-4,-0.013456415478615074,0.12331568648320033,491,0.005565159025149192,-2.4179750152340582,0.9675219023011744,Bad,Small
-3,-0.0038994602851323873,0.15098024328015464,491,0.0068136429960533864,-0.572301819656686,0.9637490890681553,Bad,Small
-2,0.030349983706720974,0.1600850330220447,491,0.007224536405068857,4.200959342585209,0.992998858218741,Bad,Small
-1,0.031345957230142565,0.15716320705671288,491,0.007092676245144299,4.419482314817661,1.024125357958046,Bad,Small
0,0.002365462321792261,0.14011037247748537,491,0.006323092593871409,0.37409895342746685,1.026547887905088,Bad,Small
1,-0.036322409368635435,0.15954965865145987,491,0.0072003752979521276,-5.044516135008402,0.9892611952840913,Bad,Small
2,-0.03454987860082304,0.12217583802593647,486,0.005542008556675377,-6.234179945321005,0.9550823410825208,Bad,Small
3,-0.0275464206185567,0.124546745378863,485,0.0056553763826848475,-4.870837722294842,0.9287732411897058,Bad,Small
4,-0.0003133520833333364,0.1563826113013029,480,0.007137856984273826,-0.04390002265718069,0.9284822081596348,Bad,Small
5,0.012670129707112971,0.12561723547232923,478,0.005745598615209151,2.2051887985307435,0.9402461981677641,Bad,Small
6,0.013886800000000001,0.14613181919972215,475,0.0067049877087089005,2.0711149077816904,0.9533032090724802,Bad,Small
7,0.0007557040169133188,0.15618988780828538,473,0.007181618692725593,0.10522753285116442,0.9540236241369127,Bad,Small
8,-0.006589415778251599,0.12330680186708223,469,0.005693779081372887,-1.1573009215985872,0.9477371658152002,Bad,Small
9,-0.010926392703862663,0.15363609035163506,466,0.007117054452096815,-1.53524084681459,0.9373818173614575,Bad,Small
10,-0.010634713968957875,0.14372105358139742,451,0.006767560100760015,-1.571425123770023,0.9274130298541164,Bad,Small
11,-0.022111195286195286,0.12159917414088602,297,0.0070558997335313815,-3.133717331769528,0.90690681924005,Bad,Small
12,-0.06174514492753623,0.04575369075703566,69,0.0055080970936082115,-11.209886804498682,0.8509097262503023,Bad,Small
-12,-0.019030438247011942,0.10106849167884067,753,0.0036831405867800604,-5.166905199143936,1.0,Good,Large
-11,0.01648430013280213,0.09327211621894471,753,0.003399024870703429,4.849714479844539,1.016484300132802,Good,Large
-10,0.02928264807436919,0.08241709416997503,753,0.0030034458765496766,9.74968395568651,1.0462496521667124,Good,Large
-9,0.005065543160690572,0.08985078110913308,753,0.003274344488176646,1.5470403859403852,1.0515494749366203,Good,Large
-8,-0.0008010756972111534,0.11260022095351395,753,0.004103380163148458,-0.1952233683842983,1.0507071042078335,Good,Large
-7,0.027326126162018592,0.08933996018998829,753,0.003255729139034433,8.39324310932169,1.079418859096746,Good,Large
-6,0.010673050464807437,0.08854975230917399,753,0.003226932363011803,3.307491222049019,1.0909395510525501,Good,Large
-5,0.02235634926958831,0.09386980510634742,753,0.0034208058645907773,6.535404274472836,1.1153289766878889,Good,Large
-4,0.00980326294820717,0.06446462117384759,753,0.002349221391482458,4.1729838591419,1.126262839920115,Good,Large
-3,0.01152789228723404,0.08568001207223362,752,0.003124428558113965,3.6896002173891134,1.1392462766258284,Good,Large
-2,0.02115666135458167,0.10290142159237761,753,0.0037499362660776523,5.641872248861193,1.1633489242998691,Good,Large
-1,0.002353689243027889,0.08802315961873339,753,0.0032077422585722656,0.7337526064439769,1.166087086148882,Good,Large
0,0.007105500664010624,0.07874766333076928,753,0.002869724383038059,2.4760219852501386,1.1743727187138069,Good,Large
1,0.017520264276228423,0.11291719406619374,753,0.0041149313055157425,4.257729467498979,1.1949480391044656,Good,Large
2,0.014630918882978726,0.07238335694335327,752,0.002639549436282823,5.54296073483772,1.2124312269339774,Good,Large
3,0.001884273936170216,0.07660351626831845,752,0.0027934428122967747,0.6745346380013993,1.214715779494288,Good,Large
4,-0.011486860962566847,0.09949847261075699,748,0.0036380244631507587,-3.1574446733155006,1.2007625082262008,Good,Large
5,0.005095974598930481,0.07556610787057595,748,0.002762970544218416,1.844382528649802,1.2068815634674697,Good,Large
6,0.0070366742627345855,0.08879988937753736,746,0.0032511949449895443,2.1643347697679247,1.21537399590329,Good,Large
7,0.021028558981233243,0.09832807250896732,746,0.0036000465150645387,5.841190910516961,1.2409315596603996,Good,Large
8,0.003511041554959785,0.07502779421107544,746,0.002746962715636764,1.2781540626574912,1.2452885219332284,Good,Large
9,-0.009031905913978493,0.08940339607721386,744,0.0032776875269586968,-2.7555725918629665,1.23404119316737,Good,Large
10,0.011666822733423543,0.11367673775065472,739,0.004181666394766475,2.789993660906342,1.2484385330137961,Good,Large
11,-0.03384463442389758,0.0733420526213948,703,0.002766147904328221,-12.235294566476552,1.2061855872632372,Good,Large
12,-0.04828396850393701,0.07167500898289035,127,0.006360128578342618,-7.591665468580715,1.1479461603579162,Good,Large
-12,-0.016522120943952796,0.09822480675109556,339,0.0053348392033255735,-3.0970232305508696,1.0,Bad,Large
