event_month,aar,std,n,se,t_stat,api,news,event,model,surprise
2,0.00228063864874438,0.13592090829651993,1342,0.00371030840485382,0.6146763017761143,0.9847369757771537,Good,FYE,MM (EW),SUE
3,0.0006489555488582421,0.10334042840919208,1340,0.0028230453736943074,0.22987783154508873,0.9853760263017501,Good,FYE,MM (EW),SUE
4,-0.011855088918450088,0.09824356637721295,1336,0.002687824389907833,-4.410663495339666,0.9736943058918339,Good,FYE,MM (EW),SUE
5,-0.020210984649447376,0.131650462154594,1330,0.003609911604682682,-5.598747798486317,0.9540149852221997,Good,FYE,MM (EW),SUE
6,-0.006760062418482664,0.08731141536661909,1328,0.0023959182240923557,-2.8214912973682877,0.9475657843739298,Good,FYE,MM (EW),SUE
-12,-0.007240036107039601,0.11298206935973572,836,0.0039075665766824625,-1.8528247606177493,1.0,Bad,FYE,MM (EW),SUE
-11,-0.03368434650009719,0.10007897312528732,836,0.003461303661981271,-9.73169354370257,0.9663156534999028,Bad,FYE,MM (EW),SUE
-10,0.0026275764761397734,0.1078592516225276,836,0.003730390220453636,0.7043704065416099,0.9688547217795648,Bad,FYE,MM (EW),SUE
-9,-0.014280077259919208,0.1363227618690122,836,0.004714821306948317,-3.0287631980610596,0.9550194014989151,Bad,FYE,MM (EW),SUE
-8,-0.009309968858903405,0.11332399607311214,836,0.003919392359343695,-2.375360261319274,0.9461282006113115,Bad,FYE,MM (EW),SUE
-7,-0.028957883416099738,0.13974055183522663,836,0.00483302804465266,-5.991664676587012,0.9187303304813249,Bad,FYE,MM (EW),SUE
-6,0.014731569641860098,0.11155377797470992,836,0.0038581680862005796,3.818280933521316,0.9322646703268997,Bad,FYE,MM (EW),SUE
-5,0.014914334979040928,0.1244252241027819,836,0.004303336359083598,3.465760920026469,0.9461687779092802,Bad,FYE,MM (EW),SUE
-4,-0.004558953022083414,0.10442761152874803,836,0.003611704466071133,-1.262271889882151,0.9418552388998297,Bad,FYE,MM (EW),SUE
-3,-0.0009711641367537497,0.10071151582259469,836,0.003483180608618289,-0.27881532595548986,0.9409405428697966,Bad,FYE,MM (EW),SUE
-2,-0.010420570406374443,0.11329481870407801,836,0.003918383238934772,-2.6594056198564475,0.9311354056946096,Bad,FYE,MM (EW),SUE
-1,-0.005413117567657733,0.15301790630315074,836,0.005292234951019658,-1.0228415060474185,0.9260950602721761,Bad,FYE,MM (EW),SUE
0,0.02481969971519359,0.14932364429065434,836,0.00516446622765192,4.805859622491544,0.9490804615758556,Bad,FYE,MM (EW),SUE
1,-0.019386025079643984,0.13020582188817081,836,0.004503262513980884,-4.3048845186035445,0.9306815639451459,Bad,FYE,MM (EW),SUE
2,-0.045014650555861686,0.13321389628628458,836,0.0046072989424589105,-9.77029081855874,0.8887872585653722,Bad,FYE,MM (EW),SUE
3,-0.012514757315998246,0.1193673862582559,833,0.004135834805014211,-3.0259325882227164,0.8776643017188752,Bad,FYE,MM (EW),SUE
4,-0.021416985687917566,0.10775752346726154,829,0.0037425734848177752,-5.722529103248951,0.8588673779301659,Bad,FYE,MM (EW),SUE
5,-0.01196752482410106,0.13757431795664526,824,0.004792628461952344,-2.4970691801187366,0.8485888612641761,Bad,FYE,MM (EW),SUE
6,-0.006300839133816677,0.10995790070075115,821,0.0038375571945042926,-1.6418880069957038,0.8432420393586019,Bad,FYE,MM (EW),SUE
-12,-0.001379174901385939,0.10169254006073009,848,0.003492136163029134,-0.3949373211695219,1.0,Good,FYE,MM (EW),TSUE
-11,-0.03500394465396281,0.08734975037433021,848,0.002999602743048802,-11.669526818202845,0.9649960553460372,Good,FYE,MM (EW),TSUE
-10,0.010411158038525818,0.10011630701840082,848,0.003438008098126908,3.0282529131324663,0.9750427817847986,Good,FYE,MM (EW),TSUE
-9,0.008355299685557866,0.11553872544470581,848,0.003967616121249384,2.105874013569342,0.9831895564328506,Good,FYE,MM (EW),TSUE
-8,-0.0038691104328394416,0.09455086646551682,848,0.003246890084885145,-1.1916357904601833,0.9793854874625975,Good,FYE,MM (EW),TSUE
-7,-0.016476324158749334,0.12686229772925176,848,0.004356469189979128,-3.7820361949646366,0.963248814694789,Good,FYE,MM (EW),TSUE
