event_month,aar,std,n,se,t_stat,api,news,spec
-12,-0.0034068430439952355,0.12321921980691705,841,0.004248938614031622,-0.8018103704168695,1.0,Bad,Simple(EW)+SUE
-11,-0.007547961950059449,0.12582845143121305,841,0.004338912118317691,-1.7395977941553677,0.9924520380499405,Bad,Simple(EW)+SUE
-10,0.005936215219976221,0.12067566743852452,841,0.004161229911673259,1.426553049453888,0.998343446943309,Bad,Simple(EW)+SUE
-9,-0.008955850178359094,0.13800110659137557,841,0.004758658847978468,-1.8820113953248911,0.9894024326059381,Bad,Simple(EW)+SUE
-8,-0.014434198573127227,0.133902266069172,841,0.00461731951962662,-3.126099138639305,0.9751212014249689,Bad,Simple(EW)+SUE
-7,0.01650885850178359,0.12245737272690602,841,0.004222668025065724,3.9095800105021605,0.991219339361383,Bad,Simple(EW)+SUE
-6,0.007968649227110583,0.11691556092337763,841,0.004031571066323366,1.9765617661250052,0.9991180185838819,Bad,Simple(EW)+SUE
-5,0.015610042806183114,0.12283278118461768,841,0.004235613144297162,3.6854269439598153,1.0147142936224052,Bad,Simple(EW)+SUE
-4,-0.0039240713436385286,0.10745951239337116,841,0.0037055004273576263,-1.058985532606392,1.0107324823408212,Bad,Simple(EW)+SUE
-3,-0.0021832437574316327,0.1300215119118619,841,0.0044835004107538585,-0.4869507209579001,1.0085258069583174,Bad,Simple(EW)+SUE
-2,0.02318889179548157,0.14129516772320116,841,0.004872247162869005,4.759383303089015,1.0319124027688247,Bad,Simple(EW)+SUE
-1,0.021279586206896555,0.13835800783591748,841,0.00477096578744543,4.460226116668616,1.0538710717015098,Bad,Simple(EW)+SUE
0,-0.0018567752675386453,0.12183137845114198,841,0.0042010820155566194,-0.4419754864730088,1.0519142699603998,Bad,Simple(EW)+SUE
1,-0.028941966706302023,0.14004062224318486,841,0.004828986973902927,-5.993382641682773,1.0214698021813218,Bad,Simple(EW)+SUE
2,-0.015990932934131733,0.10928326142498371,835,0.0037819032099511377,-4.228276623276759,1.0051355470803995,Bad,Simple(EW)+SUE
3,-0.015618309352517984,0.10967163178517403,834,0.003797618024496325,-4.112659370103297,0.9894370291648855,Bad,Simple(EW)+SUE
4,-0.0001908719806763304,0.1350312762375051,828,0.00469266124067373,-0.04067457054473566,0.9892481733593742,Bad,Simple(EW)+SUE
