event,model,surprise,good_api,bad_api,spread_pp,fiscal_year
FYE,MM (EW),TSUE,1.0186177199084223,1.0157218847896996,0.28958351187227116,2018
FYE,MM (VW),SUE,0.924572876123485,0.8842434198820249,4.032945624146011,2018
FYE,MM (VW),TSUE,0.9339606738455805,0.9015100761789793,3.245059766660119,2018
FYE,FFC,SUE,0.9757301263817401,0.9345551407995065,4.117498558223353,2018
FYE,FFC,TSUE,0.9807496958735278,0.9633598649614041,1.738983091212365,2018
Ann,Simple (EW),SUE,1.087680902452774,1.0066867593921998,8.09941430605743,2018
Ann,Simple (EW),TSUE,1.079993903665205,1.0013776449530385,7.86162587121666,2018
Ann,Simple (VW),SUE,1.0543045983603334,0.9749569647510081,7.9347633609325285,2018
Ann,Simple (VW),TSUE,1.0436848297626466,0.9730721915571077,7.061263820553898,2018
Ann,MM (EW),SUE,1.0049151278912192,0.9761891515489154,2.8725976342303783,2018
Ann,MM (EW),TSUE,1.0076984059748184,1.0105760112170428,-0.2877605242224357,2018
Ann,MM (VW),SUE,0.9905955929007632,0.9491278893114483,4.146770358931484,2018
Ann,MM (VW),TSUE,0.9865954457833597,0.9860989418014373,0.04965039819223582,2018
Ann,FFC,SUE,0.9951845289543052,0.9306016897797392,6.458283917456598,2018
Ann,FFC,TSUE,0.9885028537016035,0.9732451323996058,1.5257721301997762,2018
FYE,Simple (EW),SUE,1.1044653885634699,1.0648241463051795,3.9641242258290355,2019
FYE,Simple (EW),TSUE,1.1650006559273511,1.0175473405076507,14.745331541970042,2019
FYE,Simple (VW),SUE,1.0414594248111317,1.0033618945104295,3.8097530300702287,2019
FYE,Simple (VW),TSUE,1.0992460808397544,0.9586985214677755,14.054755937197893,2019
FYE,MM (EW),SUE,1.0058762219719926,0.9900470750176547,1.5829146954337903,2019
FYE,MM (EW),TSUE,1.041454974422852,0.9625208246340065,7.893414978884561,2019
FYE,MM (VW),SUE,1.0122363810853572,0.9977650547326683,1.4471326352688885,2019
FYE,MM (VW),TSUE,1.0465258913766824,0.9678486557806795,7.867723559600293,2019
FYE,FFC,SUE,1.0277024480878243,1.0159130109664036,1.1789437121420665,2019
FYE,FFC,TSUE,1.0612072602558125,0.9807350227512674,8.047223750454503,2019
Ann,Simple (EW),SUE,1.0878379369832933,1.033697730592068,5.41402063912253,2019
Ann,Simple (EW),TSUE,1.1426601125716327,0.9986473032308325,14.401280934080019,2019
